Courier_id,Addr,Arrival_time,Departure,Amount,Order_id
D0544,A070,181,181,17,F5690
D0544,A070,181,181,11,F5709
D0544,A070,181,181,7,F5685
D0544,B4720,186,204,-20,F5707
D0544,B1964,214,232,-18,F5678
D0544,B2558,235,248,-7,F5685
D0544,B2923,254,271,-17,F5690
D0544,B4826,275,290,-11,F5709
D0544,B8357,292,307,-12,F5759
D0544,B0033,310,337,-55,F5652
D0545,A070,0,0,41,F5673
D0545,A070,0,0,34,F5687
D0545,A070,0,0,33,F5683
D0545,A070,0,0,28,F5715
D0545,B1628,14,38,-41,F5673
D0545,B5428,40,61,-28,F5715
D0545,A070,77,77,45,F5700
D0545,A070,77,77,23,F5733
D0545,B6533,80,99,-23,F5733
D0545,B2309,102,124,-33,F5683
D0545,B3973,129,154,-45,F5700
D0545,B2785,160,182,-34,F5687
D0546,A070,0,0,29,F5727
D0546,A070,0,0,25,F5656
D0546,A070,0,0,18,F5698
D0546,A070,0,0,18,F5694
D0546,A070,0,0,11,F5660
D0546,A070,0,0,8,F5667
D0546,A070,0,0,7,F5705
D0546,A070,0,0,7,F5669
D0546,A070,0,0,5,F5735
D0546,A070,0,0,5,F5704
D0546,A070,0,0,5,F5720
D0546,B0355,16,36,-25,F5656
D0546,B4550,41,53,-5,F5704
D0546,B6295,56,77,-29,F5727
D0546,B3933,80,98,-18,F5698
D0546,B0656,101,116,-11,F5660
D0546,B5960,126,138,-5,F5720
D0546,B3279,141,159,-18,F5694
D0546,B1061,166,179,-8,F5667
D0546,B4598,187,200,-7,F5705
D0546,B1281,205,218,-7,F5669
D0546,B6867,223,235,-5,F5735
D0546,A070,240,240,73,F5688
D0546,A070,240,240,24,F5702
D0546,A070,240,240,19,F5680
D0546,A070,240,240,10,F5665
D0546,A070,240,240,8,F5723
D0546,B4090,246,266,-24,F5702
D0546,B2185,269,287,-19,F5680
D0546,B6101,295,308,-8,F5723
D0546,B2848,315,346,-73,F5688
D0546,B0959,350,364,-10,F5665
D0547,A070,0,0,81,F5708
D0547,A070,0,0,17,F5706
D0547,A070,0,0,15,F5712
D0547,A070,0,0,12,F5710
D0547,A070,0,0,7,F5749
D0547,A070,0,0,6,F5662
D0547,B5138,26,43,-15,F5712
D0547,B8018,44,57,-7,F5749
D0547,B0801,59,71,-6,F5662
D0547,B4641,76,93,-17,F5706
D0547,B4793,112,144,-81,F5708
D0547,A070,151,151,69,F5658
D0547,A070,151,151,34,F5713
D0547,A070,151,151,6,F5670
D0547,A070,151,151,6,F5653
D0547,A070,151,151,4,F5751
D0547,A070,151,151,3,F5691
D0547,A070,151,151,3,F5703
D0547,B2945,154,164,-3,F5691
D0547,B1459,175,187,-6,F5670
D0547,B8113,194,205,-4,F5751
D0547,B4338,211,221,-3,F5703
D0547,B0152,227,239,-6,F5653
D0547,B0602,249,279,-69,F5658
D0547,B5146,288,310,-34,F5713
D0547,B5066,317,332,-12,F5710
D0547,A070,343,343,60,F5654
D0547,A070,343,343,39,F5699
D0547,A070,343,343,22,F5732
D0547,A070,343,343,18,F5711
D0547,B5103,354,372,-18,F5711
D0547,B0183,379,407,-60,F5654
D0547,B6526,408,427,-22,F5732
D0547,B3934,435,459,-39,F5699
D0540,A069,0,0,54,F5612
D0540,A069,0,0,48,F5589
D0540,A069,0,0,37,F5619
D0540,B5121,3,30,-54,F5612
D0540,B2155,32,58,-48,F5589
D0540,A069,60,60,52,F5650
D0540,A069,60,60,51,F5632
D0540,B6644,69,95,-51,F5632
D0540,B8983,97,124,-52,F5650
D0540,B5679,127,150,-37,F5619
D0540,A069,159,159,72,F5606
D0540,A069,159,159,46,F5630
D0540,B6408,166,191,-46,F5630
D0540,B4379,193,223,-72,F5606
D0540,S107,224,321,1,E1470
D0540,B8073,329,337,-1,E1470
D0540,A069,339,339,59,F5615
D0540,A069,339,339,59,F5608
D0540,B5292,342,370,-59,F5615
D0540,A069,373,373,68,F5588
D0540,B2023,376,406,-68,F5588
D0540,B4616,407,435,-59,F5608
D0540,A069,437,437,83,F5584
D0540,A069,437,437,45,F5604
D0540,B1663,447,479,-83,F5584
D0540,S110,479,479,3,E1484
D0540,B2460,483,493,-3,E1484
D0540,B4277,495,520,-45,F5604
D0540,S152,524,555,3,E1630
D0540,S177,561,619,1,E1753
D0540,S157,623,623,3,E1653
D0540,B3243,626,636,-3,E1653
D0540,B3243,636,646,-3,E1630
D0540,B3243,646,654,-1,E1753
D0541,A069,0,0,56,F5578
D0541,A069,0,0,52,F5598
D0541,A069,0,0,32,F5614
D0541,B5291,7,29,-32,F5614
D0541,B0896,30,57,-56,F5578
D0541,A069,64,64,49,F5605
D0541,A069,64,64,38,F5621
D0541,B4333,73,99,-49,F5605
D0541,S142,103,287,2,E1593
D0541,B3198,287,296,-2,E1593
D0541,S145,297,320,2,E1614
D0541,B5781,324,347,-38,F5621
D0541,B5781,347,356,-2,E1614
D0541,A069,361,361,76,F5576
D0541,S119,364,364,1,E1509
D0541,B7866,368,376,-1,E1509
D0541,B3412,380,407,-52,F5598
D0541,B0249,409,440,-76,F5576
D0469,A061,0,0,55,F4926
D0469,A061,0,0,44,F4911
D0469,A061,0,0,18,F4922
D0469,A061,0,0,16,F4864
D0469,B5499,12,39,-55,F4926
D0469,B4577,48,73,-44,F4911
D0469,B5244,77,95,-18,F4922
D0469,S521,347,347,1,E3748
D0469,B7768,629,637,-1,E3748
D0469,S003,800,800,1,E0053
D0469,B7768,963,971,-1,E0053
D0469,B1451,979,996,-16,F4864
D0468,A061,0,0,38,F4934
D0468,A061,0,0,34,F4969
D0468,A061,0,0,34,F4973
D0468,A061,0,0,28,F4907
D0468,S421,260,260,3,E3112
D0468,B7768,540,550,-3,E3112
D0468,S096,571,571,4,E1405
D0468,B8336,573,595,-34,F4973
D0468,B5923,598,609,-4,E1405
D0468,B5923,609,632,-38,F4934
D0468,B7959,635,657,-34,F4969
D0468,B4451,664,685,-28,F4907
D0351,A039,0,0,63,F3691
D0351,A039,0,0,50,F3690
D0351,A039,0,0,19,F3679
D0351,B5034,3,21,-19,F3679
D0351,B7195,28,54,-50,F3690
D0351,B7269,55,84,-63,F3691
D0351,A039,95,95,54,F3674
D0351,A039,95,95,52,F3681
D0351,A039,95,95,30,F3684
D0351,B4170,102,129,-54,F3674
D0351,B6032,130,151,-30,F3684
D0351,A039,159,159,62,F3699
D0351,A039,159,159,22,F3688
D0351,B8497,169,198,-62,F3699
D0351,B5568,199,226,-52,F3681
D0351,S371,303,338,1,E2828
D0351,A039,426,426,43,F3686
D0351,A039,426,426,18,F3683
D0351,B0098,433,441,-1,E2828
D0351,B6223,444,469,-43,F3686
D0351,B6558,474,493,-22,F3688
D0351,B5818,496,514,-18,F3683
D0351,A039,516,516,55,F3685
D0351,A039,516,516,43,F3678
D0351,A039,516,516,19,F3672
D0351,B6070,520,547,-55,F3685
D0351,B4945,550,575,-43,F3678
D0351,B3377,579,597,-19,F3672
D0351,A039,602,602,52,F3680
D0351,A039,602,602,43,F3687
D0351,A039,602,602,31,F3677
D0351,B6300,607,632,-43,F3687
D0351,B5282,634,661,-52,F3680
D0351,B4903,665,687,-31,F3677
D0350,A039,0,0,32,F3665
D0350,A039,0,0,32,F3676
D0350,A039,0,0,17,F3694
D0350,A039,0,0,17,F3682
D0350,A039,0,0,16,F3673
D0350,A039,0,0,12,F3671
D0350,A039,0,0,11,F3661
D0350,B0328,5,20,-11,F3661
D0350,B7396,23,40,-17,F3694
D0350,B3348,41,56,-12,F3671
D0350,B3388,57,74,-16,F3673
D0350,B5728,76,93,-17,F3682
D0350,B4418,97,119,-32,F3676
D0350,B2121,121,143,-32,F3665
D0350,A039,148,148,76,F3669
D0350,A039,148,148,38,F3670
D0350,A039,148,148,25,F3697
D0350,B3139,158,189,-76,F3669
D0350,B3331,192,215,-38,F3670
D0350,B8188,219,239,-25,F3697
D0350,S114,239,373,3,E1502
D0350,A039,377,377,78,F3660
D0350,A039,377,377,54,F3692
D0350,B7329,384,411,-54,F3692
D0350,B0325,414,445,-78,F3660
D0350,B5282,448,458,-3,E1502
D0350,A039,464,464,58,F3663
D0350,A039,464,464,52,F3659
D0350,A039,464,464,28,F3689
D0350,B6883,472,493,-28,F3689
D0350,B1682,496,524,-58,F3663
D0350,B0098,526,553,-52,F3659
D0353,A039,0,0,61,F3666
D0353,A039,0,0,53,F3662
D0353,B0814,3,30,-53,F3662
D0353,B2303,34,62,-61,F3666
D0352,A039,0,0,52,F3664
D0352,A039,0,0,47,F3701
D0352,A039,0,0,35,F3693
D0352,B2057,2,29,-52,F3664
D0352,B7355,31,54,-35,F3693
D0352,B8635,56,82,-47,F3701
D0352,A039,83,83,61,F3698
D0352,A039,83,83,39,F3703
D0352,A039,83,83,29,F3700
D0352,A039,83,83,10,F3675
D0352,B8572,91,112,-29,F3700
D0352,B4245,114,128,-10,F3675
D0352,B8231,132,160,-61,F3698
D0352,B8979,165,189,-39,F3703
D0352,A039,195,195,60,F3667
D0352,A039,195,195,35,F3696
D0352,A039,195,195,26,F3668
D0352,A039,195,195,10,F3695
D0352,B2467,197,225,-60,F3667
D0352,A039,227,227,58,F3702
D0352,B7567,228,242,-10,F3695
D0352,B7903,248,271,-35,F3696
D0352,B3011,273,293,-26,F3668
D0352,B8932,296,324,-58,F3702
D0355,A040,0,0,76,F3736
D0355,A040,0,0,58,F3712
D0355,B1921,7,35,-58,F3712
D0355,B7964,38,69,-76,F3736
D0355,A040,73,73,77,F3733
D0355,A040,73,73,52,F3709
D0355,B1592,80,107,-52,F3709
D0355,B7805,109,140,-77,F3733
D0355,A040,147,147,52,F3727
D0355,A040,147,147,44,F3706
D0355,A040,147,147,32,F3739
D0355,B5980,148,175,-52,F3727
D0355,B0432,176,201,-44,F3706
D0355,S397,207,225,2,E2941
D0355,A040,233,233,82,F3732
D0355,A040,233,233,22,F3723
D0355,B1179,234,243,-2,E2941
D0355,B7589,250,282,-82,F3732
D0355,B8306,286,308,-32,F3739
D0355,B4874,309,328,-22,F3723
D0355,A040,334,334,75,F3734
D0355,A040,334,334,61,F3737
D0355,B7812,336,367,-75,F3734
D0355,A040,369,369,72,F3726
D0355,S412,375,387,3,E2981
D0355,B8048,389,417,-61,F3737
D0355,B0147,418,428,-3,E2981
D0355,B5674,429,459,-72,F3726
D0355,A040,463,463,91,F3724
D0355,A040,463,463,11,F3725
D0355,B5113,466,500,-91,F3724
D0355,A040,503,503,67,F3735
D0355,A040,503,503,60,F3740
D0355,B5527,505,520,-11,F3725
D0355,B7930,521,551,-67,F3735
D0355,A040,555,555,78,F3705
D0355,B8383,559,587,-60,F3740
D0355,B0292,589,620,-78,F3705
D0354,A040,0,0,80,F3717
D0354,A040,0,0,55,F3713
D0354,A040,0,0,1,F3710
D0354,B3003,8,40,-80,F3717
D0354,B2306,42,69,-55,F3713
D0354,A040,75,75,87,F3720
D0354,B3893,78,111,-87,F3720
D0354,S420,112,222,2,E3073
D0354,B1784,223,231,-1,F3710
D0354,B1784,231,240,-2,E3073
D0354,A040,242,242,97,F3708
D0354,A040,242,242,38,F3743
D0354,B8862,245,268,-38,F3743
D0354,S425,269,269,2,E3119
D0354,S436,273,273,4,E3212
D0354,B1899,277,288,-4,E3212
D0354,B1179,291,326,-97,F3708
D0354,B1179,326,335,-2,E3119
D0354,A040,336,336,75,F3728
D0354,A040,336,336,56,F3715
D0354,A040,336,336,7,F3711
D0354,B6102,342,373,-75,F3728
D0354,B2457,374,401,-56,F3715
D0354,A040,407,407,94,F3721
D0354,A040,407,407,30,F3707
D0354,S439,410,567,1,E3223
D0354,B1899,567,580,-7,F3711
D0354,B1899,580,588,-1,E3223
D0354,S434,592,619,2,E3207
D0354,B0899,622,631,-2,E3207
D0354,B0899,631,652,-30,F3707
D0354,B4055,654,688,-94,F3721
D0357,A040,0,0,99,F3719
D0357,A040,0,0,35,F3730
D0357,S428,11,538,1,E3180
D0357,B6483,547,570,-35,F3730
D0357,B6319,574,582,-1,E3180
D0357,S484,588,588,3,E3471
D0357,S484,588,588,3,E3467
D0357,B3003,592,602,-3,E3467
D0357,B3580,604,639,-99,F3719
D0357,B6319,648,658,-3,E3471
D0357,A040,663,663,90,F3718
D0357,B3222,664,697,-90,F3718
D0356,A040,0,0,72,F3745
D0356,A040,0,0,43,F3744
D0356,S432,1,387,1,E3203
D0356,B8919,391,416,-43,F3744
D0356,B8984,417,447,-72,F3745
D0356,B5980,450,458,-1,E3203
D0356,A040,459,459,91,F3742
D0356,B8452,460,494,-91,F3742
D0356,A040,495,495,77,F3741
D0356,B8407,497,528,-77,F3741
D0356,A040,530,530,74,F3738
D0356,B8077,535,566,-74,F3738
D0356,S420,568,579,1,E3074
D0356,B1784,580,588,-1,E3074
D0359,A041,0,0,88,F3756
D0359,A041,0,0,48,F3753
D0359,B1531,3,36,-88,F3756
D0359,A041,39,39,48,F3746
D0359,A041,39,39,34,F3754
D0359,B1413,44,70,-48,F3753
D0359,S382,74,217,3,E2889
D0359,B1420,221,243,-34,F3754
D0359,B1420,243,253,-3,E2889
D0359,S384,259,359,2,E2907
D0359,B7677,366,375,-2,E2907
D0359,B0041,376,402,-48,F3746
D0359,A041,405,405,88,F3750
D0359,A041,405,405,34,F3759
D0359,B1154,413,446,-88,F3750
D0359,B1983,448,470,-34,F3759
D0359,A041,476,476,75,F3752
D0359,A041,476,476,54,F3776
D0359,B5041,486,513,-54,F3776
D0359,S445,530,563,1,E3241
D0359,S381,586,586,3,E2883
D0359,S386,590,590,6,E2913
D0359,B1413,592,604,-6,E2913
D0359,B1420,608,618,-3,E2883
D0359,A041,623,623,61,F3748
D0359,B1245,631,639,-1,E3241
D0359,B1245,639,670,-75,F3752
D0359,B0370,673,701,-61,F3748
D0358,A040,0,0,99,F3716
D0358,A040,0,0,33,F3731
D0358,B2491,2,37,-99,F3716
D0358,A040,39,39,86,F3714
D0358,B2404,41,74,-86,F3714
D0358,A040,76,76,98,F3704
D0358,S412,82,228,4,E2980
D0358,S412,228,302,1,E2989
D0358,B8077,304,312,-1,E2989
D0358,B0147,314,325,-4,E2980
D0358,B0147,325,360,-98,F3704
D0358,B6524,363,385,-33,F3731
D0358,A040,391,391,69,F3729
D0358,A040,391,391,58,F3722
D0358,B4229,396,424,-58,F3722
D0358,B6319,426,456,-69,F3729
D0549,A070,0,0,27,F5736
D0549,A070,0,0,25,F5666
D0549,A070,0,0,23,F5664
D0549,A070,0,0,19,F5697
D0549,A070,0,0,17,F5734
D0549,A070,0,0,14,F5686
D0549,A070,0,0,12,F5762
D0549,B3922,17,35,-19,F5697
D0549,B6542,38,55,-17,F5734
D0549,B2567,58,74,-14,F5686
D0549,B8816,81,96,-12,F5762
D0549,B0989,100,120,-25,F5666
D0549,A070,137,137,39,F5730
D0549,A070,137,137,24,F5729
D0549,A070,137,137,22,F5692
D0549,B6469,147,171,-39,F5730
D0549,B3093,175,194,-22,F5692
D0549,B0879,196,215,-23,F5664
D0549,B6370,216,236,-24,F5729
D0549,B6895,239,260,-27,F5736
D0549,A070,269,269,67,F5672
D0549,A070,269,269,52,F5726
D0549,A070,269,269,20,F5757
D0549,B1496,285,315,-67,F5672
D0549,B6257,317,344,-52,F5726
D0549,B8298,348,366,-20,F5757
D0193,A024,0,0,88,F1983
D0193,A024,0,0,44,F1917
D0193,S191,3,237,6,E1788
D0193,B0503,238,250,-6,E1788
D0193,B2724,252,277,-44,F1917
D0193,S183,278,308,2,E1772
D0193,S181,308,308,1,E1768
D0193,S185,309,309,2,E1779
D0193,B8835,312,345,-88,F1983
D0193,B4838,347,356,-2,E1772
D0193,B8025,359,368,-2,E1779
D0193,B8615,369,377,-1,E1768
D0193,S212,379,611,1,E1946
D0193,A024,613,613,73,F1911
D0193,A024,613,613,52,F1928
D0193,B3537,617,644,-52,F1928
D0193,B2037,647,678,-73,F1911
D0193,B6620,682,690,-1,E1946
D0192,A024,0,0,66,F1921
D0192,A024,0,0,61,F1971
D0192,S249,2,220,7,E2127
D0192,B2859,222,251,-66,F1921
D0192,B7890,252,280,-61,F1971
D0192,B0677,282,295,-7,E2127
D0192,S242,295,348,1,E2091
D0192,A024,350,350,70,F1938
D0192,A024,350,350,67,F1892
D0192,B8738,353,361,-1,E2091
D0192,B4340,363,393,-70,F1938
D0192,B0083,395,425,-67,F1892
D0192,A024,428,428,77,F1952
D0192,A024,428,428,51,F1960
D0192,B6852,433,459,-51,F1960
D0192,B5848,461,492,-77,F1952
D0192,A024,495,495,79,F1902
D0192,A024,495,495,35,F1923
D0192,B3200,500,523,-35,F1923
D0192,S181,524,596,12,E1766
D0192,S181,596,596,14,E1767
D0192,B0823,601,633,-79,F1902
D0192,B4753,638,654,-14,E1767
D0192,B3970,658,673,-12,E1766
D0191,A023,0,0,56,F1807
D0191,A023,0,0,39,F1815
D0191,B2511,4,31,-56,F1807
D0191,A023,35,35,65,F1769
D0191,B0139,42,71,-65,F1769
D0191,B3134,72,96,-39,F1815
D0191,A023,102,102,78,F1773
D0191,A023,102,102,52,F1843
D0191,B5086,111,138,-52,F1843
D0191,B0330,144,175,-78,F1773
D0191,S363,183,378,3,E2799
D0191,S363,378,391,2,E2798
D0191,A023,398,398,79,F1846
D0191,A023,398,398,46,F1816
D0191,B5190,406,416,-3,E2799
D0191,B5190,416,448,-79,F1846
D0191,B3582,449,458,-2,E2798
D0191,B3165,462,487,-46,F1816
D0190,A023,0,0,77,F1802
D0190,A023,0,0,34,F1891
D0190,A023,0,0,26,F1845
D0190,B5132,4,24,-26,F1845
D0190,S348,29,272,2,E2746
D0190,S348,272,272,1,E2747
D0190,S348,272,304,1,E2748
D0190,S331,308,308,3,E2574
D0190,B2032,309,319,-3,E2574
D0190,B2032,319,328,-2,E2746
D0190,B2194,330,338,-1,E2747
D0190,B2194,338,369,-77,F1802
D0190,B2194,369,377,-1,E2748
D0190,B9183,380,402,-34,F1891
D0190,A023,411,411,47,F1797
D0190,A023,411,411,40,F1875
D0190,A023,411,411,24,F1882
D0190,B1905,417,443,-47,F1797
D0190,B7983,444,468,-40,F1875
D0190,A023,474,474,53,F1771
D0190,A023,474,474,34,F1826
D0190,A023,474,474,17,F1887
D0190,A023,474,474,8,F1862
D0190,B8227,484,504,-24,F1882
D0190,B4157,506,528,-34,F1826
D0190,B0231,531,558,-53,F1771
D0190,B8538,561,578,-17,F1887
D0190,B6885,581,594,-8,F1862
D0197,A024,0,0,78,F1910
D0197,A024,0,0,43,F1901
D0197,A024,0,0,16,F1912
D0197,S211,6,249,2,E1933
D0197,S211,249,249,1,E1936
D0197,B6976,251,259,-1,E1936
D0197,B6074,260,269,-2,E1933
D0197,B2108,271,288,-16,F1912
D0197,S170,289,300,11,E1719
D0197,B0734,302,327,-43,F1901
D0197,B2036,330,361,-78,F1910
D0197,B8025,365,380,-11,E1719
D0197,A024,384,384,87,F1986
D0197,A024,384,384,53,F1979
D0197,B9097,388,421,-87,F1986
D0197,B8615,426,453,-53,F1979
D0197,S181,454,504,13,E1769
D0197,S181,504,504,21,E1759
D0197,B1499,508,527,-21,E1759
D0197,A024,527,527,62,F1980
D0197,A024,527,527,57,F1978
D0197,B9097,531,547,-13,E1769
D0197,B8681,551,580,-62,F1980
D0197,B8490,583,611,-57,F1978
D0197,A024,616,616,79,F1977
D0197,A024,616,616,56,F1982
D0197,B8822,626,653,-56,F1982
D0197,B8427,656,688,-79,F1977
D0196,A024,0,0,90,F1927
D0196,A024,0,0,48,F1908
D0196,B3380,6,39,-90,F1927
D0196,S174,45,213,14,E1745
D0196,S225,222,224,1,E2025
D0196,B7890,232,248,-14,E1745
D0196,B2859,249,257,-1,E2025
D0196,A024,261,261,84,F1970
D0196,B1853,263,289,-48,F1908
D0196,S211,293,301,1,E1932
D0196,B7745,305,337,-84,F1970
D0196,A024,339,339,83,F1966
D0196,A024,339,339,35,F1968
D0196,B7523,342,365,-35,F1968
D0196,B5195,369,377,-1,E1932
D0196,B7291,379,411,-83,F1966
D0196,A024,417,417,66,F1962
D0196,A024,417,417,44,F1963
D0196,A024,417,417,28,F1984
D0196,S241,424,425,1,E2087
D0196,B3808,428,436,-1,E2087
D0196,B6997,437,466,-66,F1962
D0196,A024,472,472,68,F1945
D0196,B5078,477,507,-68,F1945
D0196,S305,509,555,3,E2461
D0196,B8911,559,580,-28,F1984
D0196,B1740,582,592,-3,E2461
D0196,B7162,593,618,-44,F1963
D0196,A024,625,625,75,F1967
D0196,A024,625,625,54,F1959
D0196,B7369,631,662,-75,F1967
D0196,B6620,665,692,-54,F1959
D0195,A024,0,0,79,F1956
D0195,A024,0,0,60,F1957
D0195,A024,0,0,1,F1924
D0195,B3228,4,12,-1,F1924
D0195,B6221,14,46,-79,F1956
D0195,A024,53,53,80,F1897
D0195,B0647,60,92,-80,F1897
D0195,B6331,95,123,-60,F1957
D0195,A024,127,127,81,F1950
